State transition: J2-0_1, time: 5
State transition: J2-1_2, time: 2
State transition: J2-2_1, time: 45
State transition: J2-1_2, time: 7
State transition: J2-2_1, time: 2
State transition: J2-1_2, time: 12
State transition: J2-2_1, time: 2
State transition: J2-1_2, time: 1
State transition: J2-2_1, time: 42
State transition: J2-1_2, time: 9
State transition: J2-2_1, time: 2
State transition: J2-1_2, time: 2
State transition: J2-2_1, time: 12
State transition: J2-1_2, time: 11
State transition: J2-2_1, time: 12
State transition: J2-1_2, time: 9
