State transition: J2-0_2, time: 2
State transition: J2-2_4, time: 2
State transition: J2-4_1, time: 1
State transition: J2-1_9, time: 2
State transition: J2-9_5, time: 1
State transition: J2-5_9, time: 1
State transition: J2-9_1, time: 1
State transition: J2-1_8, time: 1
State transition: J2-8_1, time: 1
State transition: J2-1_8, time: 1
State transition: J2-8_1, time: 2
State transition: J2-1_8, time: 2
State transition: J2-8_1, time: 3
State transition: J2-1_6, time: 1
State transition: J2-6_3, time: 5
State transition: J2-3_6, time: 1
State transition: J2-6_3, time: 2
State transition: J2-3_6, time: 1
