State transition: J2-4_1, time: 1
State transition: J2-1_7, time: 18
State transition: J2-7_8, time: 1
State transition: J2-8_4, time: 1
State transition: J2-4_5, time: 1
State transition: J2-5_1, time: 1
State transition: J2-1_3, time: 1
State transition: J2-3_1, time: 4
State transition: J2-1_3, time: 1
State transition: J2-3_4, time: 1
State transition: J2-4_8, time: 1
State transition: J2-8_3, time: 1
State transition: J2-3_4, time: 1
State transition: J2-4_0, time: 21
State transition: J2-0_2, time: 1
State transition: J2-2_0, time: 79
State transition: J2-0_2, time: 20
State transition: J2-2_0, time: 16
