State transition: J2-10_0, time: 1
State transition: J2-0_3, time: 1
State transition: J2-3_7, time: 1
State transition: J2-7_3, time: 3
State transition: J2-3_6, time: 2
State transition: J2-6_7, time: 1
State transition: J2-7_8, time: 1
State transition: J2-8_1, time: 20
State transition: J2-1_4, time: 20
State transition: J2-4_1, time: 2
State transition: J2-1_4, time: 19
State transition: J2-4_1, time: 60
State transition: J2-1_4, time: 1
State transition: J2-4_11, time: 1
State transition: J2-11_9, time: 1
State transition: J2-9_11, time: 1
State transition: J2-11_9, time: 1
State transition: J2-9_5, time: 4
State transition: J2-5_8, time: 1
State transition: J2-8_4, time: 6
State transition: J2-4_8, time: 2
State transition: J2-8_1, time: 1
State transition: J2-1_8, time: 2
State transition: J2-8_1, time: 20
State transition: J2-1_4, time: 19
State transition: J2-4_1, time: 66
State transition: J2-1_8, time: 1
State transition: J2-8_4, time: 6
State transition: J2-4_11, time: 1
State transition: J2-11_5, time: 1
