State transition: J2-1_4, time: 1
State transition: J2-4_8, time: 1
State transition: J2-8_3, time: 1
State transition: J2-3_9, time: 1
State transition: J2-9_6, time: 1
State transition: J2-6_2, time: 8
State transition: J2-2_8, time: 2
State transition: J2-8_2, time: 2
State transition: J2-2_8, time: 2
State transition: J2-8_2, time: 1
State transition: J2-2_8, time: 3
State transition: J2-8_2, time: 8
State transition: J2-2_8, time: 1
State transition: J2-8_2, time: 6
State transition: J2-2_6, time: 7
State transition: J2-6_3, time: 1
