State transition: J2-3_4, time: 3
State transition: J2-4_7, time: 1
State transition: J2-7_6, time: 1
State transition: J2-6_4, time: 4
State transition: J2-4_6, time: 12
State transition: J2-6_0, time: 2
State transition: J2-0_6, time: 13
State transition: J2-6_4, time: 1
State transition: J2-4_6, time: 4
State transition: J2-6_7, time: 1
State transition: J2-7_4, time: 1
State transition: J2-4_0, time: 1
State transition: J2-0_4, time: 1
State transition: J2-4_5, time: 2
State transition: J2-5_2, time: 1
State transition: J2-2_3, time: 1
