State transition: J2-0_10, time: 1
State transition: J2-10_7, time: 1
State transition: J2-7_10, time: 2
State transition: J2-10_0, time: 1
State transition: J2-0_3, time: 1
State transition: J2-3_7, time: 1
State transition: J2-7_3, time: 16
State transition: J2-3_7, time: 2
State transition: J2-7_3, time: 5
State transition: J2-3_7, time: 1
State transition: J2-7_3, time: 2
State transition: J2-3_6, time: 1
State transition: J2-6_2, time: 1
State transition: J2-2_9, time: 20
State transition: J2-9_8, time: 1
State transition: J2-8_4, time: 20
State transition: J2-4_11, time: 2
State transition: J2-11_8, time: 1
State transition: J2-8_1, time: 1
State transition: J2-1_4, time: 19
State transition: J2-4_1, time: 20
