State transition: J2-11_9, time: 17
State transition: J2-9_6, time: 1
State transition: J2-6_3, time: 7
State transition: J2-3_7, time: 1
State transition: J2-7_10, time: 2
State transition: J2-10_0, time: 1
State transition: J2-0_10, time: 1
State transition: J2-10_0, time: 1
State transition: J2-0_7, time: 2
State transition: J2-7_3, time: 3
State transition: J2-3_6, time: 1
State transition: J2-6_10, time: 1
State transition: J2-10_9, time: 1
State transition: J2-9_8, time: 1
State transition: J2-8_4, time: 21
State transition: J2-4_11, time: 1
