Transitions and time:
	J2-7_6, 1
	J2-6_8, 1
	J2-8_1, 1
	J2-1_4, 1
	J2-4_2, 1
	J2-2_4, 2
	J2-4_2, 3
	J2-2_4, 1
	J2-4_2, 1
	J2-2_4, 1
	J2-4_2, 1
	J2-2_4, 1
	J2-4_2, 1
	J2-2_4, 1
	J2-4_7, 1
	J2-7_8, 1
	J2-8_1, 2
	J2-1_4, 1
	J2-4_2, 1
	J2-2_4, 2
	J2-4_2, 2
	J2-2_9, 2
	J2-9_4, 1
	J2-4_2, 1
	J2-2_4, 1
	J2-4_2, 2
	J2-2_4, 1
	J2-4_1, 1
	J2-1_4, 2
	J2-4_2, 2
	J2-2_4, 1
	J2-4_2, 1
	J2-2_4, 1
	J2-4_2, 1
	J2-2_4, 1
	J2-4_2, 1
	J2-2_4, 2
	J2-4_2, 1
	J2-2_4, 1
	J2-4_2, 3
	J2-2_4, 3
	J2-4_7, 1
	J2-7_8, 2
	J2-8_6, 2
	J2-6_8, 1
	J2-8_7, 1
	J2-7_9, 1
	J2-9_2, 2
	J2-2_4, 1
	J2-4_7, 2
	J2-7_8, 1
	J2-8_1, 3
	J2-1_5, 1
	J2-5_4, 1
	J2-4_2, 1
	J2-2_4, 1
	J2-4_2, 3
	J2-2_4, 2
	J2-4_1, 1
	J2-1_7, 1
	J2-7_1, 3
	J2-1_7, 1
	J2-7_4, 2
	J2-4_2, 3
	J2-2_4, 2
	J2-4_7, 1
	J2-7_1, 3
	J2-1_9, 3
	J2-9_5, 7
	J2-5_4, 1
	J2-4_2, 1
	J2-2_4, 4
	J2-4_2, 1
	J2-2_4, 2
	J2-4_2, 1
	J2-2_4, 2
	J2-4_2, 3
	J2-2_4, 4
	J2-4_7, 1
	J2-7_8, 2
	J2-8_1, 3
	J2-1_8, 2
	J2-8_5, 1
	J2-5_4, 1
	J2-4_2, 1
	J2-2_4, 1
	J2-4_2, 2
	J2-2_4, 3
	J2-4_2, 1
	J2-2_9, 4
	J2-9_2, 5
	J2-2_9, 1
	J2-9_1, 2
	J2-1_3, 4
	J2-3_8, 2
	J2-8_7, 1
	J2-7_9, 1
	J2-9_5, 6
R²: -0.4643
RMSE: 0.3024
