Transitions and time:
	J2-8_11, 1
	J2-11_9, 1
	J2-9_8, 1
	J2-8_4, 19
	J2-4_1, 1
	J2-1_8, 1
	J2-8_4, 19
	J2-4_11, 1
	J2-11_9, 1
	J2-9_8, 2
	J2-8_4, 6
	J2-4_1, 20
	J2-1_8, 1
	J2-8_4, 21
	J2-4_1, 21
	J2-1_8, 2
	J2-8_11, 21
	J2-11_9, 1
	J2-9_8, 1
	J2-8_11, 19
	J2-11_1, 21
	J2-1_8, 1
	J2-8_4, 1
	J2-4_1, 18
	J2-1_8, 1
	J2-8_1, 20
	J2-1_4, 1
	J2-4_8, 1
	J2-8_4, 19
	J2-4_1, 1
	J2-1_4, 19
	J2-4_1, 1
	J2-1_8, 2
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 1
	J2-8_4, 19
	J2-4_11, 1
	J2-11_8, 1
	J2-8_1, 60
	J2-1_4, 1
	J2-4_8, 1
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 1
	J2-8_4, 6
	J2-4_11, 1
	J2-11_9, 1
	J2-9_8, 2
	J2-8_11, 21
	J2-11_9, 2
	J2-9_8, 1
	J2-8_4, 19
	J2-4_8, 1
	J2-8_4, 19
	J2-4_11, 2
	J2-11_9, 1
	J2-9_8, 1
	J2-8_11, 19
	J2-11_8, 1
	J2-8_1, 1
	J2-1_4, 1
	J2-4_1, 20
	J2-1_4, 1
	J2-4_11, 1
	J2-11_9, 1
	J2-9_8, 1
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 1
	J2-8_4, 21
	J2-4_1, 1
	J2-1_8, 2
	J2-8_4, 20
	J2-4_8, 1
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 1
	J2-8_11, 21
	J2-11_9, 1
	J2-9_8, 1
	J2-8_4, 6
	J2-4_8, 1
	J2-8_11, 19
	J2-11_8, 1
	J2-8_4, 21
	J2-4_8, 1
	J2-8_1, 1
	J2-1_4, 7
	J2-4_1, 56
	J2-1_4, 19
	J2-4_8, 1
	J2-8_4, 1
	J2-4_11, 2
	J2-11_1, 21
	J2-1_8, 1
	J2-8_4, 21
	J2-4_8, 1
	J2-8_4, 1
	J2-4_11, 1
	J2-11_9, 1
	J2-9_8, 1
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 1
	J2-8_11, 21
	J2-11_9, 1
	J2-9_8, 2
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 1
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 1
	J2-8_4, 19
	J2-4_11, 1
	J2-11_1, 21
	J2-1_4, 19
	J2-4_8, 1
	J2-8_4, 21
	J2-4_11, 1
	J2-11_9, 2
	J2-9_8, 1
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 2
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 1
	J2-8_1, 1
	J2-1_8, 1
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 1
	J2-8_4, 1
	J2-4_8, 2
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 1
	J2-8_4, 21
	J2-4_8, 1
	J2-8_4, 18
	J2-4_1, 1
	J2-1_8, 1
	J2-8_11, 19
	J2-11_1, 21
	J2-1_8, 1
	J2-8_11, 19
	J2-11_9, 1
	J2-9_8, 1
	J2-8_4, 21
	J2-4_11, 1
	J2-11_9, 1
	J2-9_8, 1
	J2-8_11, 21
	J2-11_9, 1
	J2-9_8, 1
	J2-8_1, 20
	J2-1_8, 1
	J2-8_4, 21
	J2-4_11, 2
	J2-11_9, 1
	J2-9_8, 1
	J2-8_11, 19
	J2-11_8, 1
	J2-8_1, 20
	J2-1_4, 1
	J2-4_8, 1
	J2-8_4, 1
	J2-4_11, 1
	J2-11_8, 1
	J2-8_11, 19
	J2-11_1, 91
	J2-1_8, 1
	J2-8_4, 6
	J2-4_11, 1
	J2-11_8, 1
	J2-8_4, 19
	J2-4_1, 20
	J2-1_8, 2
	J2-8_11, 21
	J2-11_9, 1
	J2-9_8, 1
	J2-8_4, 21
	J2-4_8, 1
	J2-8_1, 20
R²: -2.9714
RMSE: 0.4110
